season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2014,Manchester United,Sunderland,H,2,0,0,0
2014,Manchester United,Leicester,H,3,1,3,0
2014,Sunderland,Queens Park Rangers,A,0,2,0,2
2014,Swansea,Sunderland,D,1,1,0,1
2014,Newcastle United,Aston Villa,H,1,0,1,0
2014,Southampton,Swansea,A,0,1,0,0
2014,Aston Villa,Stoke,A,1,2,1,1
2014,Tottenham,Arsenal,H,2,1,0,1
2014,Queens Park Rangers,Tottenham,A,1,2,0,1
2014,Stoke,Queens Park Rangers,H,3,1,2,1
2014,Chelsea,Burnley,D,1,1,1,0
2014,West Ham,Manchester United,D,1,1,0,0
2014,Stoke,Hull,H,1,0,0,0
2014,Sunderland,Burnley,H,2,0,2,0
2014,Crystal Palace,Arsenal,A,1,2,0,2
2014,Arsenal,Leicester,H,2,1,2,0
2014,West Bromwich Albion,Southampton,H,1,0,1,0
2014,West Bromwich Albion,Tottenham,A,0,3,0,2
2014,Everton,Leicester,D,2,2,0,0
2014,Hull,Aston Villa,H,2,0,1,0
2014,West Ham,Crystal Palace,A,1,3,0,1
2014,Aston Villa,Chelsea,A,1,2,0,1
2014,Hull,Queens Park Rangers,H,2,1,1,1
2014,Manchester United,Burnley,H,3,1,2,1
2014,Aston Villa,West Bromwich Albion,H,2,1,1,0
2014,Burnley,West Bromwich Albion,D,2,2,2,1
2014,Manchester City,Newcastle United,H,5,0,3,0
2014,Southampton,West Ham,D,0,0,0,0
2014,Hull,Sunderland,D,1,1,1,0
2014,Everton,Liverpool,D,0,0,0,0
2014,Southampton,Liverpool,A,0,2,0,1
2014,Crystal Palace,Newcastle United,D,1,1,0,1
2014,Queens Park Rangers,Arsenal,A,1,2,0,0
2014,Sunderland,West Bromwich Albion,D,0,0,0,0
2014,Swansea,Manchester United,H,2,1,1,1
2014,Tottenham,West Ham,D,2,2,0,1
2015,Arsenal,West Ham,A,0,2,0,1
2015,Bournemouth,Aston Villa,A,0,1,0,0
2015,Chelsea,Swansea,D,2,2,2,1
2015,Everton,Watford,D,2,2,0,1
2015,Leicester,Sunderland,H,4,2,3,0
2015,Manchester United,Tottenham,H,1,0,1,0
2015,Newcastle United,Southampton,D,2,2,1,1
2015,Norwich,Crystal Palace,A,1,3,0,1
2015,Stoke,Liverpool,A,0,1,0,0
